TITULO,TIPO DE PUBLICACION,FECHA,SOPORTE,MEDIO,PROGRAMA / SECCIÓN,CONDUCTOR / AUTOR,ENTREVISTADO,EVENTO / TEMA,ETIQUETA,LINK,ALCANCE/AUDIENCIA/IMPACTO,COTIZACION,TAPA,GESTION,CRISIS,Tipo de elemento,Ruta de acceso,VALORACIÓN,ÁREA,Mención Enrique Avogadro,Mención Ministerio,Mención Vivamos Cultura,ETIQUETA 2,ETIQUETA 3,MEDIOS,EJE COMUNICACIONAL,Emergencia Cultural / Medidas de apoyo,Mención Pase Cultural,Creado por,Modificado por,Gestionada sin mención real,Factor POLÍTICO,Link a tapa,Mención HRL,Funcionario/s mencionado/s,Mención Gabriela Ricardes,Mención Jorge Macri
El conservatorio Manuel de Falla tendrá su sede definitiva en el Cultural San Martín,Declaración,6/4/25,Gráfica,Perfil,Sociedad,CC,,Anuncio de obras CCGSM,Conservatorio Manuel de Falla,https://culturagcba.clientes.ejes.com/noticia_completa.cfm?id=19460749,20.360,"$ 608.262,00",NO,GESTIONADAS,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,Perfil,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,SI,NO,,No,,SI,SI
Buscan recuperar el esplendor del Centro Cultural General San Martín,Declaración,4/4/25,Gráfica,Diario Popular,Política,Redacción,,Anuncio de obras CCGSM,,https://culturagcba.clientes.ejes.com/noticia_completa.cfm?id=19314735,35.571,"$ 251.425,00",NO,GESTIONADAS,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,Diario Popular,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,SI,NO,,No,,NO,SI
Así será la restauración del Centro Cultural San Martín que implica una inversión de 35 millones de dólares,Declaración,4/4/25,Web,Corrientes abierta,Sociedad,Redacción,,Anuncio de obras CCGSM,,https://culturagcba.clientes.ejes.com/noticia_completa.cfm?id=19320845,3.500,"$ 97.500,00",NO,REBOTE,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,Corrientes abierta,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,NO,NO,,No,Pablo Bereciartua (ministro de Infraestructura),SI,SI
Jorge Macri anunció la renovación integral del Centro Cultural San Martín,Declaración,4/4/25,Web,Info Baires,Ciudad,Redacción,,Anuncio de obras CCGSM,,https://culturagcba.clientes.ejes.com/noticia_completa.cfm?id=19381170,3.500,"$ 97.500,00",NO,REBOTE,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,Info Baires,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,NO,NO,,No,Pablo Bereciartua (ministro de Infraestructura),SI,SI
"JORGE MACRI: ""VAMOS A RECUPERAR EL ESPLENDOR DEL CENTRO CULTURAL GENERAL SAN MARTÍN""",Declaración,4/4/25,Web,Amba Noticias,Polítíca,Redacción,,Anuncio de obras CCGSM,,https://culturagcba.clientes.ejes.com/noticia_completa.cfm?id=19329162,3.500,"$ 97.500,00",SECCION,REBOTE,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,Amba Noticias,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,NO,NO,,No,Pablo Bereciartua (ministro de Infraestructura). Julio Bocca,SI,SI
Será restaurado el Centro Cultural General San Martín,Declaración,4/4/25,Web,Zona Norte Digital,La Ciudad,Redacción,,Anuncio de obras CCGSM,,https://culturagcba.clientes.ejes.com/noticia_completa.cfm?id=19327277,3.500,"$ 97.500,00",NO,REBOTE,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,Zona Norte Digital,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,NO,NO,,No,Pablo Bereciartua (ministro de Infraestructura). Julio Bocca,SI,SI
Obras en la Ciudad,Nota,4/4/25,Televisión,Canal de la Ciudad,Sin Vueltas,Emiliano Rela y Mercedes Mora,,Anuncio de obras CCGSM,,https://flm.zone/sye,45.000,"$ 954.000,00",NO,GESTIONADAS,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,Canal de la Ciudad,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,SI,NO,,No,,NO,SI
Arrancó la restauración del Centro Cultural San Martín: las claves de las reformas,Declaración,3/4/25,Gráfica,Clarín,Sociedad,Silvia Gómez,,Anuncio de obras CCGSM,,https://culturagcba.clientes.ejes.com/noticia_completa.cfm?id=19221118,106.465,"$ 6.471.526,00",NO,GESTIONADAS,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,Clarín,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,SI,NO,,No,Pablo Bereciartua (ministro de Infraestructura) y Fernanda Rotondaro (directora del Centro Cultural),SI,SI
"Pondrán en valor el Centro Cultural San Martín: ""Situación de potencial colapso""",Declaración,3/4/25,Gráfica,La Nación,Cultura,Daniel Gigena,,Anuncio de obras CCGSM,,https://culturagcba.clientes.ejes.com/noticia_completa.cfm?id=19226442,95.000,"$ 422.551,00",NO,GESTIONADAS,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,La Nación,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,SI,NO,,No,Pablo Bereciartua (ministro de Infraestructura) y Fernanda Rotondaro (directora del Centro Cultural),SI,SI
Restauración del Centro Cultural San Martín,Declaración,3/4/25,Gráfica,Página 12,Cultura & Espectáculos,Silvina Friera,,Anuncio de obras CCGSM,,https://culturagcba.clientes.ejes.com/noticia_completa.cfm?id=19224841,22.950,"$ 1.170.790,00",SECCION,GESTIONADAS,FALSO,Elemento,sites/grupo_PrensaMinisteriodeCultura160/Lists/Registro_Prensa,POSITIVA,CCGSM,NO,NO,NO,,,Página 12,,NO,NO,Lorena Leonor Romero,Lorena Leonor Romero,SI,NO,https://flm.zone/shw,No,Pablo Bereciartua (ministro de Infraestructura),SI,SI
